stateid,weekid,dose1,dose2
RJ,8,648245.0,124376.0
RJ,9,1127685.0,189443.0
RJ,10,1112215.0,27122.0
RJ,11,975225.0,141525.0
RJ,12,2880719.0,312989.0
RJ,13,881931.0,250727.0
RJ,14,967612.0,543249.0
RJ,15,537635.0,339558.0
RJ,16,599274.0,403010.0
RJ,17,716229.0,332660.0
RJ,18,767046.0,41975.0
RJ,19,750240.0,65050.0
RJ,20,776273.0,126025.0
RJ,21,1828120.0,116780.0
RJ,22,1206696.0,55582.0
RJ,23,2710837.0,407036.0
RJ,24,1138425.0,540541.0
RJ,25,334966.0,330302.0
RJ,26,1161326.0,847280.0
RJ,27,1095512.0,763765.0
RJ,28,1051186.0,1218175.0
RJ,29,1738717.0,747531.0
RJ,30,1821035.0,739438.0
SK,1,292.0,0.0
SK,2,1408.0,0.0
SK,3,3382.0,0.0
SK,4,2953.0,0.0
SK,5,4180.0,699.0
SK,6,5425.0,766.0
SK,7,7574.0,2791.0
SK,8,13895.0,3329.0
SK,9,12503.0,2529.0
SK,10,8783.0,2809.0
SK,11,5950.0,309.0
SK,12,33745.0,2576.0
SK,13,39431.0,5491.0
SK,14,14185.0,11141.0
SK,15,7785.0,11726.0
SK,16,3408.0,10773.0
SK,17,1428.0,5225.0
SK,18,8466.0,43.0
SK,19,4572.0,16.0
SK,20,676.0,61.0
SK,21,33676.0,85.0
SK,22,85132.0,112.0
SK,23,72812.0,1686.0
SK,24,44863.0,23584.0
SK,25,25728.0,33281.0
SK,26,22258.0,17637.0
SK,27,17658.0,8405.0
SK,28,8590.0,3601.0
SK,29,6523.0,2638.0
SK,30,3675.0,7299.0
TG,1,25718.0,0.0
TG,2,68817.0,0.0
TG,3,40977.0,0.0
TG,4,73813.0,1929.0
TG,5,67727.0,77733.0
TG,6,13908.0,48002.0
TG,7,70657.0,31052.0
TG,8,101039.0,49366.0
TG,9,136218.0,11761.0
TG,10,185426.0,10709.0
TG,11,401078.0,18529.0
TG,12,577584.0,47562.0
TG,13,821537.0,70783.0
TG,14,915083.0,136500.0
TG,15,657886.0,125830.0
TG,16,230705.0,184711.0
TG,17,62788.0,249388.0
TG,18,6683.0,9671.0
TG,19,219348.0,171938.0
TG,20,602025.0,56939.0
